63,1,580177,3510850
63,2,581187,3512053
63,3,581204,3509768
63,4,582932,3512517
63,5,582649,3510770
63,7,584459,3512808
63,8,583788,3511375
63,9,584592,3509391
63,10,584265,3508354
63,11,585909,3512635
63,12,585356,3511396
63,13,586110,3510185
63,14,585442,3507187
63,15,587458,3513185
63,16,586839,3511669
63,17,588021,3510226
63,18,586710,3508098
63,19,587845,3506713
63,20,587480,3504939
63,21,589091,3513386
63,22,588341,3511789
63,23,589101,3511164
63,24,588636,3508844
63,25,589809,3506879
63,26,588736,3505522
63,27,590419,3511838
63,28,590624,3509990
63,29,591791,3508586
63,30,591511,3505993
63,31,592402,3513702
63,32,592441,3511695
63,33,591778,3510511
63,34,590946,3507458
63,35,591655,3506921
63,36,591306,3504994
63,37,593303,3506068
63,38,594711,3513538
63,39,593470,3511293
63,40,593360,3510286
63,41,593275,3508064
63,42,592673,3504936
63,43,595343,3514431
63,44,594952,3511627
63,45,594726,3510299
63,46,595289,3508655
63,47,594270,3507025
63,48,595587,3505653
63,49,594481,3505240
63,50,596864,3514919
63,51,595610,3513095
63,52,596490,3511950
63,53,596008,3509523
63,54,598218,3513974
63,55,599918,3513612
63,56,598334,3512322
63,57,596089,3510781
63,58,597422,3509510
63,59,598307,3508443
63,60,599659,3512461
63,61,599409,3511574
63,62,600544,3511056
63,63,599477,3509758
63,64,601283,3514443
63,65,601253,3512633
63,66,602039,3511414
63,67,602523,3514774
63,68,603070,3513183
63,69,603916,3515463
63,70,604288,3514207
63,71,591791,3512561
63,72,598354,3511165
63,74,590549,3513984
63,76,582624,3509679
63,79,586527,3509127
63,80,590761,3511243
63,81,589310,3508200
63,82,600154,3511680
63,83,589697,3512426
63,87,593369,3512745
63,88,597437,3513364
63,89,596308,3513931
63,90,596547,3513084
63,91,599114,3513048
63,92,581888,3511774
